A;Le formateur respecte les horaires de début et de fin de cours.
B;Les objectifs pédagogiques sont clairement définis.
C;Les séances sont structurées et organisées de façon logique et claire.
D;Les supports utilisés (présentations, documents, outils) sont clairs, utiles et actualisés.
E;Les supports utilisés sont mis à disposition des apprentis sur le cahier de texte Netyparéo.
F;Le rythme des évaluations vous permet de situer votre niveau de maîtrise des compétences.
G;Les notions sont expliquées de manière claire à l'aide d'exemples concrets pour faciliter la compréhension.
H;Les enseignements font le lien avec la réalité des entreprises.
I;Le.la formateur.ice vérifie régulièrement la compréhension des notions par l'ensemble du groupe.
J;Les séances sont rythmées en variant les méthodes d'apprentissage (cours, échanges, exercices, travaux de groupe, quizz...).
K;Les méthodes d'apprentissages sont adaptées pour les séances en distanciel.
L;Le.la formateur.ice instaure et fait respecter un climat de confiance, de bienveillance et de respect mutuel.
M;Le.la formateur.ice favorise la participation de chacun.e et l'interaction avec le groupe.
N;Le.la formateur.ice sait s'adapter avec autorité et bienveillance face aux comportements inadaptés ou situations difficiles.
O;Le.la formateur.ice se montre disponible pour répondre aux questions et attentif aux besoins des apprentis.
P;Le.la formateur.ice favorise les échanges avec les apprentis sur sa pratique et tient compte de leurs retours.
